algorithm,num_procs,num_doubles_per_proc,seconds
AlltoallVarSize,16,16,9.9643e-05
AlltoallVarSize,16,32,9.74979e-05
AlltoallVarSize,16,64,0.000102405
AlltoallVarSize,16,128,0.000119928
AlltoallVarSize,16,256,0.000200233
AlltoallVarSize,16,512,0.000510035
AlltoallVarSize,16,1024,0.00167202
AlltoallVarSize,16,2048,0.00633118
AlltoallVarSize,16,4096,0.024828
AlltoallVarSize,16,8192,0.0988212
AlltoallVarSize,16,16384,0.395096
MPI_Alltoall,16,16,1.59099e-05
MPI_Alltoall,16,32,1.7252e-05
MPI_Alltoall,16,64,1.77178e-05
MPI_Alltoall,16,128,1.9268e-05
MPI_Alltoall,16,256,2.2274e-05
MPI_Alltoall,16,512,2.80499e-05
MPI_Alltoall,16,1024,3.91419e-05
MPI_Alltoall,16,2048,4.87189e-05
MPI_Alltoall,16,4096,7.02059e-05
MPI_Alltoall,16,8192,0.000109852
MPI_Alltoall,16,16384,0.000199942
MPI_Alltoall,16,32768,0.000403882
MPI_Alltoall,16,65536,0.000806716
MPI_Alltoall,16,131072,0.00165287
MPI_Alltoall,16,262144,0.00314677
MPI_Alltoall,16,524288,0.00617937
AlltoallNoShiftBuffered,16,16,9.42848e-05
AlltoallNoShiftBuffered,16,32,9.36151e-05
AlltoallNoShiftBuffered,16,64,9.52089e-05
AlltoallNoShiftBuffered,16,128,9.57351e-05
AlltoallNoShiftBuffered,16,256,0.00010192
AlltoallNoShiftBuffered,16,512,0.0001135
AlltoallNoShiftBuffered,16,1024,0.000131571
AlltoallNoShiftBuffered,16,2048,0.000196999
AlltoallNoShiftBuffered,16,4096,0.000275052
AlltoallNoShiftBuffered,16,8192,0.000451695
AlltoallNoShiftBuffered,16,16384,0.000795977
AlltoallNoShiftBuffered,16,32768,0.00152442
AlltoallNoShiftBuffered,16,65536,0.00304331
AlltoallNoShiftBuffered,16,131072,0.00712642
AlltoallNoShiftBuffered,16,262144,0.0158019
AlltoallNoShiftBuffered,16,524288,0.0347372
AlltoallVarSize_comm_only,16,16,0.000105286
AlltoallVarSize_comm_only,16,32,9.57651e-05
AlltoallVarSize_comm_only,16,64,9.85291e-05
AlltoallVarSize_comm_only,16,128,9.78069e-05
AlltoallVarSize_comm_only,16,256,0.000101474
AlltoallVarSize_comm_only,16,512,0.00010623
AlltoallVarSize_comm_only,16,1024,0.000114122
AlltoallVarSize_comm_only,16,2048,0.000155267
AlltoallVarSize_comm_only,16,4096,0.000191794
AlltoallVarSize_comm_only,16,8192,0.000276308
AlltoallVarSize_comm_only,16,16384,0.000412784
AlltoallVarSize_comm_only,16,32768,0.000685307
AlltoallVarSize_comm_only,16,65536,0.00130836
AlltoallVarSize_comm_only,16,131072,0.00266292
AlltoallVarSize_comm_only,16,262144,0.00531823
AlltoallVarSize_comm_only,16,524288,0.0113048
RSM_Alltoall,16,16,0.000104496
RSM_Alltoall,16,32,9.9364e-05
RSM_Alltoall,16,64,0.000102163
RSM_Alltoall,16,128,0.000101906
RSM_Alltoall,16,256,0.000106891
RSM_Alltoall,16,512,0.000124058
RSM_Alltoall,16,1024,0.000129001
RSM_Alltoall,16,2048,0.000264507
RSM_Alltoall,16,4096,0.000319005
RSM_Alltoall,16,8192,0.000429076
RSM_Alltoall,16,16384,0.000638179
RSM_Alltoall,16,32768,0.00125582
RSM_Alltoall,16,65536,0.00245265
RSM_Alltoall,16,131072,0.0123868
RSM_Alltoall,16,262144,0.0132441
RSM_Alltoall,16,524288,0.0300189

